Date,Description,Amount
2022-09-19,External Withdrawal VENMO  - PAYMENT,50.0
2022-09-19,External Withdrawal VENMO  - PAYMENT,45.0
2022-09-19,External Withdrawal VENMO  - PAYMENT,14.5
2022-09-19,Point Of Sale Withdrawal  TST* The Buff RestaBoulder        COUS,21.57
2022-09-19,Point Of Sale Withdrawal  TST* PECKISH       BOULDER        COUS,11.89
2022-09-17,Point Of Sale Withdrawal  TST* JAMBA JUICE - BOULDER        COUS,7.12
2022-09-17,Point Of Sale Withdrawal  7-ELEVEN           BOULDER        COUS,11.32
2022-09-16,Withdrawal allowance deposit,250.0
2022-09-14,Withdrawal flume ticket sale,134.0
2022-09-14,Point Of Sale Withdrawal  ONLINE-CU REC CENTE3034921460     COUS,20.0
2022-09-12,Withdrawal Internet Transfer to 443091310100,469.0
2022-09-09,Point Of Sale Withdrawal  INTRAMURAL-CU REC C3034921214     COUS,20.0
2022-09-08,Point Of Sale Withdrawal  CU STUDENT REC CENTBOULDER        COUS,25.0
2022-09-06,Point Of Sale Withdrawal  KING SOOP 1650 30THBOULDER        COUS,469.0
2022-09-06,Point Of Sale Withdrawal  TST* BossLadyPizza8Boulder        COUS,13.29
2022-09-06,Point Of Sale Withdrawal  ARAMARK RED ROCKS AMORRISON       COUS,15.24
2022-09-06,Point Of Sale Withdrawal  HALF FAST SUBS     BOULDER        COUS,9.05
2022-09-06,Point Of Sale Withdrawal  7-ELEVEN 33481     GOLDEN         COUS,20.0
2022-09-06,Point Of Sale Withdrawal  THE SPOT BOULDERINGBOULDER        COUS,19.0
2022-09-02,Point Of Sale Withdrawal  SMASHBURGER #1016  BOULDER        COUS,14.22
2022-09-01,ATM Withdrawal MAGNOLIA BOU-66 1750 30TH STREET #8BOULDER        COUS,43.0
2022-09-01,Point Of Sale Withdrawal  TST* The Waffle LabBoulder        COUS,10.38
2022-09-01,Point Of Sale Withdrawal  PNT*THE FITTER BOULBOULDER        COUS,13.06
2022-08-30,Point Of Sale Withdrawal  C P*BOULDER MUNICIP888-407-0931   COUS,100.0
2022-08-29,Point Of Sale Withdrawal  BASELINE LIQUOR    BOULDER        COUS,8.26
2022-08-29,External Withdrawal UNIV OF CO BLDR ECHECK DEPOSIT - CU BOULDER,21914.05
2022-08-26,Withdrawal deposit of fall expenses,8137.97
2022-08-26,ATM Withdrawal TG - DENVER -67 16011 GRANT ST.    THORNTON       COUS,43.95
2022-08-24,Point Of Sale Withdrawal  SPOTIFY            8777781161     NYUS,10.81
2022-08-24,External Withdrawal VENMO  - PAYMENT,88.0
2022-08-24,Point Of Sale Withdrawal  VISTA HIGHER LEARNI8006187375     MAUS,162.18
2022-08-22,Point Of Sale Withdrawal  USPS KIOSK 07088695BOULDER        COUS,4.5
2022-08-19,Point Of Sale Withdrawal  FSP*HANGING LAKE   970-945-7529   COUS,36.0
2022-08-18,Point Of Sale Withdrawal  THE BARBER JOINT   MANHATTAN      NYUS,39.0
2022-08-13,Point Of Sale Withdrawal  TIXFLUM            8662376204     CTUS,157.35
2022-08-13,Point Of Sale Withdrawal  ALLIANZ EVENT INS  8002848300     VAUS,9.83
2022-08-10,Point Of Sale Withdrawal  PARD ONLINE REGISTR512-974-6700   TXUS,15.0
2022-08-08,Point Of Sale Withdrawal  MORTON'S DRIVE     HALLETTSVILLE  TXUS,2.15
2022-08-08,Point Of Sale Withdrawal  CHICK-FIL-A #04547     AUSTIN       TXUS,12.37
2022-08-08,Point Of Sale Withdrawal  BLIND PIG PUB - AUSTIN AUSTIN       TXUS,23.83
2022-08-06,Point Of Sale Withdrawal  TST* PETES DUELING PIA AUSTIN       TXUS,90.92
2022-08-05,ATM Withdrawal P235466 FIREHOUSE   -235466    AUSTIN       TXUS,43.95
2022-08-01,External Withdrawal VENMO  - PAYMENT,24.0
2022-08-01,ATM Withdrawal  ZKB ZH City 1          Zuerich        CH,316.41
2022-08-01,Withdrawal return flight to Vienna did not buy,104.29
2022-07-27,External Withdrawal VENMO  - PAYMENT,15.34
2022-07-26,External Withdrawal VENMO  - PAYMENT,5.0
2022-07-25,Point Of Sale Withdrawal  FF.CC.GENERALITAT ON   BARCELONA    ESES,24.15
2022-07-25,Point Of Sale Withdrawal  SPOTIFY                8777781161   NYUS,5.4
2022-07-21,Point Of Sale Withdrawal  AGA AXS TICKET INSURAN 8002848300   VAUS,8.0
2022-07-21,Point Of Sale Withdrawal  AXS.COM*DENVER CO      888-929-7849 CAUS,60.9
2022-07-21,External Withdrawal VENMO  - PAYMENT,25.0
2022-07-20,External Withdrawal VENMO  - PAYMENT,17.0
2022-07-20,External Withdrawal VENMO  - PAYMENT,20.0
2022-07-19,Withdrawal party boat repayment,594.0
2022-07-19,External Withdrawal VENMO  - PAYMENT,10.0
2022-07-18,External Withdrawal VENMO  - PAYMENT,10.0
2022-07-18,External Withdrawal VENMO  - PAYMENT,5.0
2022-07-18,External Withdrawal VENMO  - PAYMENT,34.5
2022-07-18,External Withdrawal VENMO  - PAYMENT,12.0
2022-07-18,Point Of Sale Withdrawal  VIATORTRIPADVISOR UK   LONDON       GBGB,49.58
2022-07-18,Point Of Sale Withdrawal  VIATORTRIPADVISOR UK   LONDON       GBGB,49.58
2022-07-18,Point Of Sale Withdrawal  VIATORTRIPADVISOR UK   LONDON       GBGB,594.98
2022-07-14,Point Of Sale Withdrawal  XCEED S.R.L.           MILANO       ITIT,33.12
2022-07-11,Point Of Sale Withdrawal  WWW.KLETA.COM          BARCELONA    B ES,29.25
2022-07-05,"External Withdrawal 1012 UNIVERSITY,  - ACH",1226.0
2022-07-05,Point Of Sale Withdrawal  METRO BARCELONA        BARCELONA    ESES,11.92
2022-06-27,ATM Withdrawal  CALLE BAILEN N93 PL0 P Barcelona      ES,88.34
2022-06-25,Point Of Sale Withdrawal  SPOTIFY                8777781161   NYUS,5.4
2022-06-17,Point Of Sale Withdrawal  RESIDENT ADVISOR TICKE LONDON       GBGB,80.5
2022-06-17,Point Of Sale Withdrawal  DIA BARCELONA 790      BARCELONA    ESES,4.05
2022-06-13,External Withdrawal VENMO  - PAYMENT,22.0
2022-06-13,External Withdrawal VENMO  - PAYMENT,5.0
2022-06-13,External Withdrawal VENMO  - PAYMENT,25.0
2022-06-13,External Withdrawal VENMO  - PAYMENT,14.0
2022-06-11,Withdrawal return atac fine. it came off the credit card,54.9
2022-06-10,ATM Withdrawal  B B V A                BARCELONA      ES,114.44
2022-06-10,Point Of Sale Withdrawal  WWW.KLETA.COM          BARCELONA    B ES,30.85
2022-06-08,Point Of Sale Withdrawal  DI RIENZO              ROMA         ITIT,6.44
2022-06-07,ATM Withdrawal  Largo Argentina        Roma           IT,89.86
2022-06-07,Point Of Sale Withdrawal  BIRD* RIDE             20121        MIIT,5.44
2022-06-07,Point Of Sale Withdrawal  BIRD* RIDE             20121        MIIT,2.8
2022-06-07,Point Of Sale Withdrawal  LIM*RIDE COST          MILAN        MIIT,4.31
2022-06-07,Point Of Sale Withdrawal  BIRD* RIDE             20121        MIIT,1.62
2022-06-07,Point Of Sale Withdrawal  BIRD* FEE              20121        MIIT,3.24
2022-06-07,Point Of Sale Withdrawal  BIRD* FEE              20121        MIIT,3.24
2022-06-07,Point Of Sale Withdrawal  LIM*RIDE COST          MILAN        MIIT,5.92
2022-06-06,Withdrawal Internet Transfer to 443091310100,100.0
2022-06-06,Point Of Sale Withdrawal  LIM*RIDE COST          MILAN        MIIT,6.58
2022-06-06,Point Of Sale Withdrawal  METRO BARCELONA        BARCELONA    ESES,12.21
2022-06-06,Point Of Sale Withdrawal  TAXI LIC 10346         EL PRAT DE LLESES,8.72
2022-06-03,"External Withdrawal 1012 UNIVERSITY,  - ACH",1226.0
2022-06-03,Point Of Sale Withdrawal  VUELING A S3A          BARCELONA    ESES,12.23
2022-06-03,Point Of Sale Withdrawal  VUELING A S3A          BARCELONA    ESES,145.86
2022-06-03,Point Of Sale Withdrawal  ALIMENTACION           BARCELONA    ESES,0.64
2022-06-03,Point Of Sale Withdrawal  DON JABUGO PLUS        BARCELONA    ESES,20.89
2022-06-02,Point Of Sale Withdrawal  SUN                    BARCELONA    ESES,2.48
2022-06-02,Point Of Sale Withdrawal  VIENA                  TERRASSA     ESES,8.38
2022-06-02,Point Of Sale Withdrawal  L OVELLA               BARCELONA    ESES,10.66
2022-06-02,Point Of Sale Withdrawal  GREENS ARIBAU          BARCELONA    ESES,8.92
2022-06-02,Point Of Sale Withdrawal  GREENS ARIBAU          BARCELONA    ESES,8.92
2022-06-02,Point Of Sale Withdrawal  SLOWMOV                BARCELONA    ESES,3.79
2022-06-02,Point Of Sale Withdrawal  ALAIN AFFLEOU          BARCELONA    ESES,31.34
2022-06-01,Point Of Sale Withdrawal  ZTL*FRANZOI CAFE SL    BARCELONA    ESES,4.76
2022-06-01,Point Of Sale Withdrawal  OPEN SUPER FRESC ALIME BARCELONA    ESES,6.91
2022-06-01,Point Of Sale Withdrawal  RE READ                BARCELONA    ESES,3.25
2022-06-01,Point Of Sale Withdrawal  EL FORNET-PROVENZ      BARCELONA    ESES,2.37
2022-06-01,Point Of Sale Withdrawal  MACHAKA                BARCELONA    ESES,10.7
2022-06-01,Point Of Sale Withdrawal  ICEBCN 2007 SL         BARCELONA    ESES,18.91
2022-05-31,ATM Withdrawal  B B V A                BARCELONA      ES,28.1
2022-05-31,Point Of Sale Withdrawal  VIVARI                 BARCELONA    ESES,1.56
2022-05-31,Point Of Sale Withdrawal  URBAN POKE             BARCELONA    ESES,9.13
2022-05-31,Point Of Sale Withdrawal  ARHAM SUPERMERCAT      BARCELONA    ESES,22.21
2022-05-31,Point Of Sale Withdrawal  EL FORNET-PROVENZ      BARCELONA    ESES,6.58
2022-05-31,Point Of Sale Withdrawal  TRUE CONVICTIONS S.L.  BARCELONA    ESES,18.72
2022-05-31,Point Of Sale Withdrawal  METRO BARCELONA        BARCELONA    ESES,12.24
2022-05-31,Point Of Sale Withdrawal  TACO ALTO              BARCELONA    ESES,3.13
2022-05-31,Point Of Sale Withdrawal  LAGARDERE FIL. 218     FRANKFURT    DEDE,5.97
2022-05-31,Point Of Sale Withdrawal  SUMUP  *EDGAR CASTANO  IGUALADA     ESES,3.78
2022-05-31,Point Of Sale Withdrawal  HEBERER TERMINAL 1     FRANKFURT AM DEDE,5.93
2022-05-31,Point Of Sale Withdrawal  AUSTIN AIRPORT-RETAIL  AUSTIN       TXUS,5.4
2022-05-31,Point Of Sale Withdrawal  NOBLE SANDWICH CO AUS  AUSTIN       TXUS,13.52
2022-05-31,Point Of Sale Withdrawal  NCOURT *TXSWISHERCO    844-4008880  TXUS,162.0
2022-05-28,Point Of Sale Withdrawal  SPOTIFY USA            NEW YORK     NYUS,5.4
2022-05-25,Withdrawal loan and overdraft repayment,107.93
2022-05-25,External Withdrawal UNIV OF CO BLDR ECHECK DEPOSIT - CU BOULDER,8817.0
2022-05-24,Point Of Sale Withdrawal  CHISHOLM TRAIL BBQ     LOCKHART     TXUS,37.81
2022-05-23,Point Of Sale Withdrawal H-E-B #562 1409 HWY 35 N. BUSINESSROCKPORT     TXUS,10.06
2022-05-23,Point Of Sale Withdrawal H-E-B #562 1409 HWY 35 N. BUSINESSROCKPORT     TXUS,8.35
2022-05-23,Point Of Sale Withdrawal  CIRCLE K # 04053       GOLIAD       TXUS,51.71
2022-05-23,Point Of Sale Withdrawal H-E-B #562 1409 HWY 35 N. BUSINESSROCKPORT     TXUS,65.21
2022-05-23,Point Of Sale Withdrawal  SMOKE N CHILL#3        AUSTIN       TXUS,21.64
2022-05-23,Point Of Sale Withdrawal  IKON PASS              888-3654566  COUS,469.0
2022-05-23,Point Of Sale Withdrawal  URBAN WINE &amp; LIQUOR    AUSTIN       TXUS,62.66
2022-05-20,Point Of Sale Withdrawal  WHITE TIGER-           AUSTIN       TXUS,9.66
2022-05-20,Point Of Sale Withdrawal  TST* HOME SLICE PIZZA  AUSTIN       TXUS,30.96
2022-05-16,Withdrawal savings repayment 515 to 509,132.37
2022-05-16,Point Of Sale Withdrawal  FAST STOP 1161         LEADVILLE    COUS,40.13
2022-05-16,Point Of Sale Withdrawal  LA MINA                LEADVILLE    COUS,3.16
2022-05-14,Point Of Sale Withdrawal  SILVERTHORNE 7         SILVERTHORNE COUS,32.68
2022-05-13,Point Of Sale Withdrawal  MCGUCKIN HARDWARE      BOULDER      COUS,12.0
2022-05-12,Point Of Sale Withdrawal  USA*CSC SERVICEWORK    GRAND JUNCTIOCOUS,2.0
2022-05-12,Point Of Sale Withdrawal  USA*CSC SERVICEWORK    GRAND JUNCTIOCOUS,2.0
2022-05-11,Point Of Sale Withdrawal  CIRCLE K # 44116 1015  GRAND JUNCTIOCOUS,41.49
2022-05-11,Point Of Sale Withdrawal  CITY OF MOAB           435-259-5121 UTUS,7.0
2022-05-11,Point Of Sale Withdrawal  MOAB DINER             MOAB         UTUS,16.56
2022-05-11,Point Of Sale Withdrawal  SQ *BIG DONS PIZZA     MOAB         HIUS,11.53
2022-05-10,Point Of Sale Withdrawal  MOAB GRILL             MOAB         UTUS,20.0
2022-05-10,Point Of Sale Withdrawal  WALKER DRUG            MOAB         UTUS,10.18
2022-05-10,Point Of Sale Withdrawal  MCDONALD'S F11735      MOAB         UTUS,23.7
2022-05-10,Point Of Sale Withdrawal  TEXACO 0305520         MOAB         UTUS,77.88
2022-05-10,Point Of Sale Withdrawal  TRAWICK TRAVEL INSURAN 8883019289   ALUS,1069.94
2022-05-09,Point Of Sale Withdrawal  WALKER DRUG            MOAB         UTUS,6.48
2022-05-09,Point Of Sale Withdrawal  APPLE.COM/BILL         866-712-7753 CAUS,0.99
2022-05-09,Point Of Sale Withdrawal  BOULDER GAS 2700       BOULDER      COUS,70.52
2022-05-09,Point Of Sale Withdrawal  CITY MARK 630 24 RD.   GRAND JUNCTIOCOUS,6.18
2022-05-09,Point Of Sale Withdrawal  CITY MARK 630 24 RD.   GRAND JUNCTIOCOUS,167.73
2022-05-09,ATM Withdrawal MEL REY MOBI-62 23 MEL REY RD          GLENWOOD SPRICOUS,13.0
2022-05-09,Point Of Sale Withdrawal  GLENWOOD SPRING        GLENWOOD SPR COUS,23.17
2022-05-09,Point Of Sale Withdrawal BOULDER GAS 27 2700 BASELINE RD       BOULDER      COUS,3.45
2022-05-09,Point Of Sale Withdrawal WENDY'S - 11318 2720 BASELINE RD       BOULDER      COUS,10.77
2022-05-09,Point Of Sale Withdrawal  CU STUDENT REC CENTER  BOULDER      COUS,15.0
2022-05-06,Point Of Sale Withdrawal  SQ *GARAGE SALE VINTAG DENVER       COUS,23.77
2022-05-06,Point Of Sale Withdrawal  HAZEL'S BEVERAGE WORLD BOULDER      COUS,77.88
2022-05-05,Point Of Sale Withdrawal  CU STUDENT REC CENTER  BOULDER      COUS,8.0
2022-05-04,ATM Withdrawal MAGNOLIA BOU-66 1750 30TH STREET #34 A BOULDER      COUS,38.0
2022-05-04,ATM Withdrawal DATASTREAM ASAI 1795 Folsom St     US  Boulder      COUS,68.0
2022-05-03,Withdrawal Internet Transfer to 443091310100,195.0
2022-05-03,Point Of Sale Withdrawal  AMAZON WEB SERVICES    AWS.AMAZON.COWAUS,3.42
2022-05-03,"External Withdrawal 1012 UNIVERSITY,  - ACH",1226.0
2022-05-03,Point Of Sale Withdrawal  45 TORCHYS BOULDER    BOULDER      COUS,10.35
2022-05-03,Point Of Sale Withdrawal  45 TORCHYS BOULDER    BOULDER      COUS,6.7
2022-05-02,Point Of Sale Withdrawal  CU STUDENT REC CENTER  BOULDER      COUS,4.0
2022-05-02,Withdrawal return booze buy,1000.0
2022-05-02,Point Of Sale Withdrawal  MCGUCKIN HARDWARE      BOULDER      COUS,6.53
2022-05-02,Point Of Sale Withdrawal  BOULDER SPORTS RECYCLE BOULDER      COUS,60.89
2022-05-02,Point Of Sale Withdrawal #5700 EVERYDAY 1275 13TH ST           BOULDER      COUS,3.2
2022-04-27,Point Of Sale Withdrawal  KING SOOP 1650 30TH ST BOULDER      COUS,282.53
2022-04-27,ATM Withdrawal MAGNOLIA BOU-66 1750 30TH STREET #84 A BOULDER      COUS,18.0
2022-04-26,Point Of Sale Withdrawal  EBAY O*09-08552-54127  SAN JOSE     CAUS,52.25
2022-04-25,Point Of Sale Withdrawal  HALF FAST SUBS         BOULDER      COUS,10.09
2022-04-25,Point Of Sale Withdrawal  HAZEL'S BEVERAGE WORLD BOULDER      COUS,842.63
2022-04-25,Point Of Sale Withdrawal  HAZEL'S BEVERAGE WORLD BOULDER      COUS,145.51
2022-04-25,Point Of Sale Withdrawal  CHICKEN ON THE HILL    BOULDER      COUS,22.02
2022-04-25,Point Of Sale Withdrawal  SPOTIFY USA            NEW YORK     NYUS,5.4
2022-04-25,Point Of Sale Withdrawal  GOODWILL BOULDER STORE BOULDER      COUS,8.0
2022-04-25,Point Of Sale Withdrawal  MCGUCKIN HARDWARE      BOULDER      COUS,76.16
2022-04-23,Point Of Sale Withdrawal #5700 EVERYDAY 1275 13TH ST           BOULDER      COUS,19.58
2022-04-22,Point Of Sale Withdrawal  TST* ILLEGAL PETE S -  BOULDER      COUS,10.75
2022-04-21,Point Of Sale Withdrawal  SQ *LAUGHING GOAT AT N BOULDER      COUS,3.14
2022-04-19,Withdrawal Internet Transfer to 443091310100,1293.0
2022-04-18,Point Of Sale Withdrawal  MCGUCKIN HARDWARE      BOULDER      COUS,6.94
2022-04-18,Point Of Sale Withdrawal  KING SOOP 1650 30TH ST BOULDER      COUS,72.86
2022-04-18,Point Of Sale Withdrawal NST THE HOME DE 1600 29TH STREET       BOULDER      COUS,10.31
2022-04-18,Withdrawal Internet Transfer to 443091310100,253.0
2022-04-18,Point Of Sale Withdrawal  SQ *WAFFLE CABIN MARY  PARSHALL     COUS,12.1
2022-04-15,Point Of Sale Withdrawal  KING SOOP 600 SOUTH BR BOULDER      COUS,68.12
2022-04-13,Point Of Sale Withdrawal  TST* BOSSLADYPIZZA8030 BOULDER      COUS,11.3
2022-04-13,Point Of Sale Withdrawal  DELI ZONE ON THE HILL  BOULDER      COUS,8.0
2022-04-12,Point Of Sale Withdrawal  ALLTRAILS SHOP         SAN FRANCISCOCAUS,35.99
2022-04-11,Withdrawal hazels return cash,165.0
2022-04-11,Point Of Sale Withdrawal  GOODWILL BOULDER STORE BOULDER      COUS,36.0
2022-04-09,Point Of Sale Withdrawal  APPLE.COM/BILL         866-712-7753 CAUS,0.99
2022-04-08,Point Of Sale Withdrawal  HAZEL'S BEVERAGE WORLD BOULDER      COUS,165.28
2022-04-04,"External Withdrawal 1012 UNIVERSITY,  - ACH",1226.0
2022-04-04,External Withdrawal VENMO  - PAYMENT,63.24
2022-04-04,Point Of Sale Withdrawal  AMAZON WEB SERVICES    AWS.AMAZON.COWAUS,9.64
2022-04-04,Point Of Sale Withdrawal  HAZEL'S BEVERAGE WORLD BOULDER      COUS,27.19
2022-04-04,Point Of Sale Withdrawal  SAFEWAY #2911          BOULDER      COUS,216.34
2022-04-04,Point Of Sale Withdrawal  CIRCLE K 09851 1480 CA BOULDER      COUS,1.34
2022-04-04,Point Of Sale Withdrawal  ROSE HILL WINE AND SPI BOULDER      COUS,32.64
2022-04-01,Point Of Sale Withdrawal  SMASHBURGER #1016      BOULDER      COUS,16.17
2022-04-01,Point Of Sale Withdrawal  KING SOOP 3005 ARAPAHO BOULDER      COUS,43.25
2022-03-28,External Withdrawal VENMO  - PAYMENT,28.94
2022-03-28,Point Of Sale Withdrawal  T2 PARKING 14 &amp; WALNUT 303-413-7300 COUS,15.0
2022-03-26,Withdrawal Internet Transfer to 443091310100,45.35
2022-03-25,Point Of Sale Withdrawal  SPOTIFY USA            NEW YORK     NYUS,5.4
2022-03-24,Point Of Sale Withdrawal  DEN PUBLIC PARKING     DENVER       COUS,40.0
2022-03-24,Point Of Sale Withdrawal  BOULDER PARKING-UHGID  BOULDER      COUS,1.25
2022-03-24,Point Of Sale Withdrawal  SQ *KIM'S FOOD TO GO   BOULDER      COUS,27.01
2022-03-24,Point Of Sale Withdrawal  BOOZE/SWAY             FORT LAUDERDAFLUS,11.77
2022-03-24,Point Of Sale Withdrawal  BOOZE/SWAY             FORT LAUDERDAFLUS,42.8
2022-03-24,Point Of Sale Withdrawal  SPIRIT AI              MIRAMAR      FLUS,66.0
2022-03-24,Point Of Sale Withdrawal  WALGREENS 1111 BROADWA BOULDER      COUS,4.46
2022-03-24,Point Of Sale Withdrawal  SAFEWAY #2911          BOULDER      COUS,49.96
2022-03-23,Withdrawal Internet Transfer to 443091310100,100.0
2022-03-23,Point Of Sale Withdrawal  FORT LAUDERDALE AIRPOR FORT LAUDERDAFLUS,11.29
2022-03-23,Point Of Sale Withdrawal  SQUIGGY'S              FORT LAUDERDAFLUS,7.28
2022-03-23,Point Of Sale Withdrawal  PIZZA ON THE BEACH     LAUDERDALE BYFLUS,8.56
2022-03-22,Point Of Sale Withdrawal  TST* AMERICAS BACKYARD FORT LAUDERDAFLUS,26.75
2022-03-22,ATM Withdrawal AMERICAS BAC-25 100 SW 3RD AVE         FT LAUDERDALEFLUS,43.99
2022-03-21,Point Of Sale Withdrawal  PANDA-CONCOURSE A Q75  DENVER       COUS,8.64
2022-03-21,Point Of Sale Withdrawal  TST* CUBAN RESTAURANT  MIAMI BEACH  FLUS,33.54
2022-03-21,Point Of Sale Withdrawal  SPIRIT AI              MIRAMAR      FLUS,82.0
2022-03-21,Point Of Sale Withdrawal  CARIBOU COFFEE CNCRSE  ENGLEWOOD    COUS,9.38
2022-03-21,Point Of Sale Withdrawal WAWA 5314 4700 SOUTH STATE ROAD 7HOLLWOOD     FLUS,5.44
2022-03-19,Point Of Sale Withdrawal MCDONALDS F3923 2579 World Gateway PlacDetroit      MIUS,6.64
2022-03-15,Point Of Sale Withdrawal  IN *ESTES PARK MOUNTAI ESTES PARK   COUS,2.06
2022-03-14,Withdrawal grocery return,180.0
2022-03-14,Withdrawal grocery overdraw,15.0
2022-03-14,Point Of Sale Withdrawal  LA CHOZA #3            BOULDER      COUS,5.9
2022-03-14,Point Of Sale Withdrawal  LA CHOZA #3            BOULDER      COUS,11.8
2022-03-14,Point Of Sale Withdrawal  CRYSTAL SKI SHOP CO -  BOULDER      COUS,104.49
2022-03-12,Point Of Sale Withdrawal  SAFEWAY #2911          BOULDER      COUS,209.95
2022-03-11,Point Of Sale Withdrawal  TST* THE CORNER        BOULDER      COUS,8.99
2022-03-11,Point Of Sale Withdrawal  CU STUDENT REC CENTER  BOULDER      COUS,25.0
2022-03-11,Point Of Sale Withdrawal  TST* ILLEGAL PETE S -  BOULDER      COUS,10.25
2022-03-10,Withdrawal Internet Transfer to 443091310100,100.0
2022-03-09,Point Of Sale Withdrawal  APPLE.COM/BILL         866-712-7753 CAUS,0.99
2022-03-09,Point Of Sale Withdrawal  KIWI.COM               SRO          CZCZ,717.46
2022-03-07,Point Of Sale Withdrawal #5700 EVERYDAY 1275 13TH ST           BOULDER      COUS,7.06
2022-03-07,Point Of Sale Withdrawal  TST* FAT SHACK - BOULD BOULDER      COUS,12.07
2022-03-07,Point Of Sale Withdrawal  ROSE HILL WINE AND SPI BOULDER      COUS,64.19
2022-03-03,Withdrawal return of sec deposit,2600.0
2022-03-03,"External Withdrawal 1012 UNIVERSITY,  - ACH",1226.0
2022-03-03,Point Of Sale Withdrawal  CU STUDENT REC CENTER  BOULDER      COUS,15.0
2022-03-03,Point Of Sale Withdrawal  AMAZON WEB SERVICES    AWS.AMAZON.COWAUS,8.7
2022-03-02,Point Of Sale Withdrawal  DELI ZONE ON THE HILL  BOULDER      COUS,8.02
2022-03-01,Point Of Sale Withdrawal  BOULDER SPORTS RECYCLE BOULDER      COUS,26.25
2022-03-01,Point Of Sale Withdrawal  BOULDER SPORTS RECYCLE BOULDER      COUS,39.05
2022-02-28,Point Of Sale Withdrawal  ROSE HILL WINE AND SPI BOULDER      COUS,110.97
2022-02-25,Point Of Sale Withdrawal  SPOTIFY USA            NEW YORK     NYUS,5.4
2022-02-23,Point Of Sale Withdrawal #5700 EVERYDAY 1275 13TH ST           BOULDER      COUS,52.92
2022-02-23,External Withdrawal UNIV OF CO BLDR ECHECK DEPOSIT - CU BOULDER,725.06
2022-02-22,External Withdrawal VENMO  - PAYMENT,350.0
2022-02-22,Point Of Sale Withdrawal  TACO JUNKY AND TEQUILA BOULDER      COUS,7.0
2022-02-22,Point Of Sale Withdrawal  TST* PECKISH           BOULDER      COUS,14.0
2022-02-18,Point Of Sale Withdrawal  CU PRESENTS BOX OFFICE 3034928008   COUS,31.0
2022-02-18,Point Of Sale Withdrawal  KING SOOP 1650 30TH ST BOULDER      COUS,3.02
2022-02-18,ATM Withdrawal MAG RD BLD  -37 1750 30TH              BOULDER      COUS,123.5
2022-02-16,External Withdrawal UNIV OF CO BLDR ECHECK DEPOSIT - CU BOULDER,13807.15
2022-02-16,Point Of Sale Withdrawal  TST* ILLEGAL PETE S -  BOULDER      COUS,9.8
2022-02-14,Withdrawal Internet Transfer to 5000000452090,33000.0
2022-02-14,Point Of Sale Withdrawal  TST* PECKISH           BOULDER      COUS,10.0
2022-02-14,Point Of Sale Withdrawal  TST* PECKISH           BOULDER      COUS,12.0
2022-02-14,Point Of Sale Withdrawal  APPLE.COM/US           800-676-2775 CAUS,336.33
2022-02-14,Point Of Sale Withdrawal  EPIC MOUNT GEAR  BOULD BOULDER      COUS,707.44
2022-02-12,Point Of Sale Withdrawal  SAFEWAY #2911          BOULDER      COUS,158.03
2022-02-09,Withdrawal Internet Transfer to 443091310100,850.0
2022-02-09,Point Of Sale Withdrawal  APPLE.COM/BILL         866-712-7753 CAUS,0.99
2022-02-08,External Withdrawal UNIV OF CO BLDR ECHECK DEPOSIT - CU BOULDER,6577.99
2022-02-07,Point Of Sale Withdrawal  GASAMAT/SMKRFRNDLY QPS NEDERLAND    COUS,5.43
2022-02-07,Point Of Sale Withdrawal  APPLE.COM/BILL         866-712-7753 CAUS,20.76
2022-02-07,Point Of Sale Withdrawal  HAZEL'S BEVERAGE WORLD BOULDER      COUS,835.01
2022-02-07,Point Of Sale Withdrawal  HALF FAST SUBS ON THE  BOULDER      COUS,10.09
2022-02-03,"External Withdrawal 1012 UNIVERSITY,  - ACH",1226.0
2022-02-03,Point Of Sale Withdrawal  AMAZON WEB SERVICES    AWS.AMAZON.COWAUS,9.64
2022-02-01,Withdrawal Internet Transfer to 443091310100,2575.0
2022-02-01,External Withdrawal VENMO  - PAYMENT,9.0
2022-01-31,External Withdrawal VENMO  - PAYMENT,90.0
2022-01-31,Point Of Sale Withdrawal TRADER JOE'S #3 1906 28TH ST           BOULDER      COUS,81.42
2022-01-31,Point Of Sale Withdrawal  PHILLIPS 66 - EMPIRE P IDAHO SPRINGSCOUS,72.88
2022-01-31,Point Of Sale Withdrawal MCDONALD'S F237 2911 COLORADO BLVD     IDAHO SPRINGSCOUS,5.96
2022-01-31,Point Of Sale Withdrawal  EMPIRE PHILLIPS        IDAHO SPRINGSCOUS,2.51
2022-01-31,Point Of Sale Withdrawal  CHRISTY SPORTS 1118-CH BOULDER      COUS,847.89
2022-01-29,Point Of Sale Withdrawal REI #44 BOULDER 1789 28TH ST           BOULDER      COUS,425.4
2022-01-29,Point Of Sale Withdrawal  KING SOOP 1650 30TH ST BOULDER      COUS,11.6
2022-01-29,Point Of Sale Withdrawal  KING SOOP 1650 30TH ST BOULDER      COUS,3.25
2022-01-26,Point Of Sale Withdrawal  CANTEEN VEND1 1800CANT HUNT VALLEY  MDUS,1.5
2022-01-25,External Withdrawal VENMO  - PAYMENT,734.0
2022-01-25,Point Of Sale Withdrawal  LA CHOZA #3            BOULDER      COUS,11.05
2022-01-25,ATM Withdrawal WELLS FARGO BAN 1101 13th St           Boulder      COUS,83.0
